iter	Passed	Remaining
0	1	1421
1	2	1073
2	2	923
3	3	860
4	4	840
5	5	961
6	6	907
7	7	872
8	7	863
9	8	843
10	9	820
11	9	797
12	10	786
13	11	777
14	12	816
15	13	802
16	13	791
17	14	789
18	15	780
19	15	772
20	16	768
21	17	761
22	17	751
23	19	774
24	19	765
25	20	760
26	20	755
27	21	752
28	22	745
29	22	738
30	23	737
31	24	732
32	24	728
33	25	723
34	26	719
35	26	713
36	27	715
37	28	711
38	28	709
39	29	705
40	30	703
41	30	700
42	31	696
43	31	693
44	32	692
45	33	693
46	34	695
47	35	694
48	35	695
49	36	693
50	37	690
51	37	688
52	38	688
53	39	686
54	39	685
55	40	683
56	41	680
57	41	677
58	43	687
59	43	684
60	44	682
61	45	682
62	45	683
63	46	683
64	47	680
65	47	679
66	48	678
67	49	677
68	50	674
69	51	682
70	51	679
71	52	677
72	53	675
73	54	684
74	55	682
75	55	680
76	56	678
77	57	677
78	57	675
79	58	673
80	59	671
81	59	669
82	60	668
83	61	667
84	61	666
85	62	667
86	63	666
87	64	666
88	64	663
89	65	662
90	66	660
91	66	658
92	67	658
93	68	656
94	68	654
95	69	652
96	69	650
97	70	648
98	71	647
99	72	654
100	73	652
101	73	650
102	74	649
103	75	648
104	75	647
105	76	647
106	77	645
107	77	644
108	78	643
109	79	643
110	80	643
111	81	642
112	81	641
113	82	643
114	83	641
115	84	640
116	84	640
117	85	638
118	85	636
119	86	635
120	87	634
121	87	633
122	88	632
123	89	630
124	89	629
125	90	628
126	91	626
127	91	626
128	92	626
129	93	625
130	94	624
131	94	622
132	95	621
133	95	620
134	96	619
135	97	617
136	98	621
137	99	619
138	99	618
139	100	617
140	101	616
141	101	616
142	102	615
143	103	613
144	103	612
145	104	611
146	105	609
147	105	608
148	106	607
149	106	606
150	107	605
151	108	603
152	108	602
153	109	601
154	110	600
155	110	599
156	111	598
157	112	597
158	112	595
159	113	594
160	113	593
161	114	592
162	115	591
163	115	590
164	117	594
165	117	592
166	118	591
167	119	590
168	120	592
169	121	591
170	121	589
171	122	589
172	122	587
173	123	586
174	124	585
175	124	584
176	125	583
177	126	581
178	126	580
179	127	580
180	127	578
181	128	577
182	129	576
183	129	575
184	130	574
185	130	573
186	131	572
187	132	571
188	132	570
189	133	569
190	134	568
191	134	567
192	135	566
193	137	572
194	138	571
195	139	570
196	139	569
197	140	567
198	140	566
199	141	565
200	141	564
201	142	563
202	143	562
203	143	560
204	144	560
205	145	559
206	145	557
207	146	556
208	146	555
209	147	554
210	148	553
211	148	552
212	149	551
213	149	550
214	150	549
